NaiveTimes,StrassenTimes,AlphaTensor,log2,log445
0.0,0.001,0.001999,3,1
0.006001,0.004,0.154,3,2
0.001,0.0,0.002999,4,1
0.023,0.026,0.205,4,2
0.003002,0.003,0.01,5,1
0.228,0.192,0.644,5,2
0.025,0.021,0.052052,6,1
1.775503,1.311506,3.27001,6,2
0.189998,0.152002,0.335,7,1
15.53668,9.260164,21.495055,7,2
1.433509,1.084551,2.271073,8,1
441.081913,64.754788,144.760749,8,2
