NaiveTimes,StrassenTimes,AlphaTensor,log2,log4
0.009997,0.009002,0.009998,3,1
0.664541,0.46,0.432001,3,2
0.081994,0.065036,0.063968,4,1
5.239044,3.221167,3.013015,4,2
0.685554,0.460032,0.442999,5,1
42.709172,22.586499,20.883178,5,2
5.24352,3.255201,3.098108,6,1
343.389976,158.735019,146.10732,6,2
42.501276,22.584043,21.662623,7,1
2807.27053,1106.521046,1018.319908,7,2
342.001506,158.317995,151.628501,8,1
14677.387689,6989.031092,7186.688008,8,2
