NaiveTimes,StrassenTimes,AlphaTensor,log2,log345
0.0,0.001,0.0,3,1
0.001999,0.002,0.029999,3,2
0.001,0.0,0.001,4,1
0.02,0.011952,0.042048,4,2
0.002999,0.001001,0.004,5,1
0.162042,0.088,0.158046,5,2
0.021961,0.013039,0.018962,6,1
1.328258,0.637001,0.93,6,2
0.169952,0.093004,0.135043,7,1
12.899903,4.520506,6.333413,7,2
1.366999,0.650001,0.893505,8,1
255.363792,30.606989,43.046599,8,2
