NaiveTimes,StrassenTimes,AlphaTensor,log2,log5
0.0,0.0,0.00076,3,1
0.01,0.007,0.008003,3,2
0.001,0.0,0.001,4,1
0.08505,0.05105,0.05,4,2
0.00505,0.004,0.004,5,1
0.678097,0.357001,0.35346,5,2
0.044001,0.028999,0.03,6,1
5.480243,2.493057,2.487911,6,2
0.344,0.211,0.21,7,1
108.381615,17.540649,17.524267000000002,7,2
2.797015,1.488604,1.485508,8,1
1632.830457,122.775946,122.738751,8,2
