NaiveTimes,StrassenTimes,Kauers&Moosbauer,log2,log455
0.0,0.0,0.015623,2,1
0.453125,0.390628,0.390618,2,2
0.031247,0.046876,0.015624,3,1
3.578128,2.734406,2.031216,3,2
0.281251,0.25,0.203125,4,1
28.671873,19.140629,14.906247,4,2
2.265627,1.7343730000000002,1.359376,5,1
230.625,134.359362,103.781262,5,2
18.328091,12.281284,9.546841,6,1
1849.89062,939.843751,728.921913,6,2
147.656245,85.953119,66.750009,7,1
14925.409103,6586.31437,5098.546925,7,2
1186.484389,602.265594,467.515674,8,1
121891.737552,46122.346923,35580.484972,8,2
