NaiveTimes,StrassenTimes,Kauers&Moosbauer,log2,log5
0.0,0.0,0.0,2,1
0.390626,0.296874,0.374995,2,2
0.015624,0.031285,0.015591,3,1
3.015627,2.062497,2.046878,3,2
0.203126,0.15625,0.140624,4,1
21.852185,13.290885,13.453852,4,2
1.375,0.937534,0.947148,5,1
175.83091,90.495586,91.257276,5,2
11.056685,6.656249,6.703125,6,1
1390.472922,623.8331,643.478299,6,2
88.233394,45.713909,46.168354,7,1
11155.378058,4325.743518,4408.553962,7,2
703.337323,318.371476,321.47696,8,1
90130.721654,30705.403148,30601.099577,8,2
